"name", description
"bar and bites","Bar u kojem se uz pića poslužuju sitni zalogaji"
"kineska kuhinja","Restoran u kojem se pripremaju kineski specijaliteti"
"restaurant & bar","Objekt u kojem se mogu pojesti gableci i popiti piće"
"buffet","ugostiteljski objekt u kojem se pretežito uslužuju pića i pripremaju se i uslužuju jednostavna topla jela"
"pekara","Objekt u kojem se prodaju i poslužuju pekarski proizvodi"
"fast food","Restoran brze hrane"
"slastičarna","Objekt u kojem se prodaju i mogu konzumirati slastice (kolači, torte i sl.)"
"japanska kuhinja","Restoran u kojem se premaju specijaliteti japanske kuhinje"
"restoran","Ugostiteljski objekt u kojem se pretežito pripremaju i uslužuju topla i hladna jela koja zahtijevaju složeniju pripremu, te ostala jela i slastice, uslužuju pića i pripremaju i uslužuju napici"
